324243	324015
855395	560283
25636	326846
386762	57931
386762	798441
57931	798441
386762	100151416
57931	100151416
368249	791595
325615	30697
325615	493627
30697	493627
338101	791454
799352	791454
30292	791454
378477	13543
566846	30370
30105	30370
30549	792391
30549	30144
791595	30364
30144	58073
323630	492362
80972	492362
323630	80972
768303	791595
568986	791595
393134	791595
393134	30105
568986	30105
768303	30105
550436	553607
550436	436915
30292	30612
30122	30612
30292	30122
791595	118437
30122	64807
30122	64807
30122	64810
30122	30632
30105	558502
406245	324004
22057	324004
57259	324004
22057	58092
57259	326283
406245	58092
406245	326283
58092	386629
326283	386629
17127	386629
17128	386629
17130	386629
17131	386629
17125	386629
17126	386629
326283	386629
58092	386629
58092	386629
326283	386629
386629	58092
386629	326283
328572	58092
328572	326283
386629	324004
386629	324004
324004	386629
324004	30701
324004	386629
324004	386629
386629	30701
386629	30122
60632	30122
60632	324261
60632	324261
7046	337795
30632	30122
64810	368201
64807	368201
30122	324261
30122	30465
30122	402843
30122	117510
30465	117510
30465	402843
791595	245949
378972	58100
378972	555778
562140	30399
353295	30399
368449	560942
368449	723994
368449	568520
368449	352910
114447	352944
560942	30718
723994	30718
568520	30718
791595	445138
561433	565658
565658	402998
30399	118437
30399	30105
337193	550262
321505	573110
321505	171465
321505	327035
394249	573110
394249	171465
394249	327035
327035	573110
327035	171465
327035	321505
573110	327035
573110	171465
573110	321505
405788	24873
405788	7421
405788	30076
12393	30076
352910	560887
560887	352910
560887	550134
560887	30138
352910	30138
560887	30131
352910	30131
560887	30120
352910	30120
30120	550134
8452	100141360
323269	100141360
560032	100049175
30138	352910
352910	30138
352910	30138
353295	30071
751629	30122
30138	7316
352910	5424
321974	406275
322269	393544
562489	777766
564464	192302
561158	192302
564464	30523
561158	30523
564464	7090
30523	7090
30523	3065
564464	3065
1877	30523
7088	30523
3065	30523
1080	30707
7334	406836
7334	641324
851666	406836
851666	641324
393313	406836
393313	641324
406836	393313
641324	393313
393313	777766
393313	30590
225164	406797
406797	225164
6612	445403
445403	5905
323865	3837
323865	3842
323865	51194
323865	3612
334932	7157
567674	30273
322397	553266
100149029	335881
335881	100149029
352910	554967
352910	641575
352910	322221
352910	334015
352910	30532
352910	30587
352910	322206
352910	368390
352910	378968
352910	768304
352910	335015
352910	560099
560887	558011
560887	550134
560887	352910
560887	641289
560887	406618
560887	568683
560887	777766
560887	337810
560887	394136
560887	795505
560887	560542
560887	30587
560887	30501
560887	564651
560887	566547
560887	335195
560887	406419
560887	334050
560887	553206
560887	561390
560887	492361
560887	100002737
560887	556837
560887	558010
560887	567317
352910	322007
352910	403011
352910	415202
352910	777720
352910	30429
352910	393488
352910	58037
352910	406738
352910	792062
352910	322338
352910	393124
352910	436971
352910	323855
352910	324554
352910	65226
352910	446168
352910	606498
352910	114467
352910	30303
352910	325618
352910	58101
352910	336641
352910	373126
352910	399487
352910	333939
352910	368488
352910	564886
352910	492520
352910	30095
352910	140744
352910	30428
352910	692296
352910	30355
352910	30314
352910	195823
352910	378848
352910	323765
352910	573376
352910	30573
352910	373085
352910	560240
352910	322007
560887	322007
352910	568683
560887	568683
352910	777720
560887	777720
352910	373126
560887	373126
373126	777766
777720	777766
445133	140618
7336	393313
7335	393313
852793	393313
7336	393313
7335	393313
393313	7316
445403	6612
327437	560234
571871	850455
571871	851212
571871	851394
553758	352930
553758	30154
553758	403042
30325	321875
2060	100913078
352910	12388
559099	777766
559099	777766
