23162	4214
2033	7251
573	4233
156	9590
2533	8935
3217	1387
6809	9341
940	3932
1395	7349
4086	7554
2817	6585
59269	10010
51010	56915
5079	1616
2243	4811
4780	23764
4486	6789
9229	140735
60	7169
3556	7850
3643	3645
2060	6453
132625	10155
377	23062
580	9869
2250	7039
2066	2069
162	1213
1831	3725
56477	1232
1654	3798
2099	5594
2353	5970
1129	9737
26297	55770
5925	10902
4036	9737
6477	10656
382	1131
663	2260
114609	353376
5465	9857
836	10846
3725	5587
11059	23559
5578	5997
51010	51013
2746	8655
7187	8737
51225	5585
3065	5245
6386	9672
8928	4089
4088	51176
403	9094
6632	11218
3996	57555
7157	890
991	26271
2192	2335
4804	7189
3218	5089
960	5552
330	7186
10915	10946
7763	7128
940	2885
302	634
3066	8726
6529	6804
5864	8573
5879	10811
408	5744
9611	8841
5868	259173
7704	29924
10524	8996
960	1462
2316	2918
4297	5929
1431	4191
4804	8717
4216	85458
3619	23468
3002	5551
2885	5791
10188	5923
199699	6464
7916	3646
3356	3717
196	8648
3937	6461
2057	6464
3065	6304
920	3603
5430	5434
324	22919
5293	5295
7293	7292
1398	2549
2335	116844
10923	1478
861	5079
2862	51738
2335	3676
999	3695
823	2274
2833	10563
811	7018
91	3547
7048	7049
9368	1182
3996	2906
1398	5829
1877	5925
659	3984
2771	8490
1025	4790
1325	6754
2532	2919
596	9530
3312	3320
2785	10681
2038	961
2885	8751
3775	7329
9261	3315
10971	28954
56852	7320
3659	10923
998	56882
805	2100
2534	8936
7884	84967
1315	8615
1130	1460
5170	5588
54434	1072
5827	5824
7251	90678
115727	3265
4946	89874
3458	3459
3725	10987
5080	4094
1825	1828
2065	9542
6598	8996
7525	10413
10010	4217
5295	9564
1487	51412
1130	8220
4488	9856
4355	3761
1021	29883
5310	5829
4172	4174
920	1509
3817	5269
4855	9794
2081	3324
1132	2885
5683	5693
57453	260425
3665	353376
63940	2261
1601	4036
161	2060
8417	8775
8813	8818
6935	10589
8658	85456
1104	8349
708	5587
572	7533
150	7534
7535	114836
2064	3728
472	10155
2120	10524
3454	6773
3265	54922
2773	5998
3654	3684
7189	387522
6667	9314
5451	142
902	4176
1019	5757
9329	9328
727897	3346
3936	25801
6348	7040
351	9479
8022	10370
7297	10419
3054	199699
49855	84466
823	1281
3659	10589
4087	9972
2071	6879
4591	9618
27289	91544
472	8662
1514	5275
2033	6996
1727	54205
4116	10482
867	1436
7137	7135
7128	7185
2885	3716
4436	11277
8453	9616
9138	10256
4208	9686
2331	7043
1463	6900
85365	553115
3065	60436
1294	3918
8218	27131
7529	3064
2245	9844
1869	9792
3324	6774
1080	821
6096	8648
8996	23077
653361	9618
4086	5692
2068	2073
6117	92797
7337	9246
1278	22918
1796	5979
9657	805
8204	10062
5450	6582
5295	9743
695	29760
904	8812
255061	6870
92170	4599
1399	51466
2033	10432
5933	10741
51343	1499
573	3308
581	2959
200576	10244
432	7038
5873	94121
6279	6280
7169	9260
51141	22937
7057	7040
208	2932
10953	9727
3002	5552
1499	2099
1386	467
8295	9913
2157	5627
4487	6000
3875	10049
4035	115209
3952	3953
8458	24137
10253	2885
7182	257397
1439	3717
7307	10946
5884	5982
9107	66036
7068	9318
27161	167227
93	58533
4306	8805
8573	85461
282617	3588
7352	7532
6895	9618
6436	22918
1490	7422
7019	51106
5318	11128
79027	3064
8148	6882
60	10095
5298	23413
7514	8021
1297	4099
54998	375056
1639	5048
4175	23594
3514	959
7422	8828
5311	23607
4956	6676
9616	1460
983	1869
9134	1017
8682	5595
4099	4804
351	6464
9474	55054
3685	3897
57761	5970
22	2235
1399	6654
3667	55023
5335	7222
1845	1950
2185	3718
4321	4067
8666	8667
6814	11218
5579	22927
9522	11276
10155	1107
27097	79595
5829	6714
5578	7015
4036	26119
1399	2209
3660	5970
390	91544
3699	10653
9371	90410
3192	4692
1630	2534
7341	8554
1639	5606
9241	650
406	8863
834	29108
54206	998
1956	5781
2130	2185
8470	2185
4780	11243
8573	64130
7422	8829
5862	26003
7040	7049
9325	6256
330	56616
2963	27336
864	3066
871	7343
8717	8737
7884	90459
8766	84440
7534	9181
4735	6804
1212	3092
2534	5786
1742	3768
1499	2308
9212	8831
6667	9401
1617	22873
7128	79155
5879	5586
2744	30851
2873	6502
5594	10140
7421	9031
8772	23429
8390	29991
7837	5781
55388	1026
6929	222894
1718	7157
1495	9787
2335	3690
3754	170850
2560	5290
672	63967
23450	8841
1911	6045
3689	3827
374	2963
9600	5347
833	1937
3831	23162
333	57562
1742	3084
1875	4609
3017	3015
51291	2669
476	5348
890	6872
4208	6667
1870	55837
9869	55791
10466	4210
372	1315
2049	5921
2903	9787
4690	8871
11276	23163
7534	25932
4851	7528
8573	9787
9611	9572
10155	23468
5580	6774
6426	51747
122809	5335
984	7531
367	11143
3643	3667
328	4830
7528	5925
25942	51132
2243	3674
6774	8841
339	51726
779	9699
793	3612
10291	6601
6455	152503
2641	2740
842	51237
26523	55802
1742	4035
5033	3064
177	55140
864	2033
6640	3768
1387	28996
5925	6839
11187	1825
5585	8851
54	2239
5799	9793
23450	9611
5580	5591
7421	6256
1387	9618
5603	8550
602	10524
10594	24148
8661	8662
4800	23051
2885	6853
80223	8766
2776	9368
3324	6714
963	3558
7837	5515
5905	7341
1060	7343
5515	5520
472	1832
8773	23673
6067	51808
5329	3572
6804	10814
5063	5829
672	5932
998	8936
6386	8408
6883	2648
6457	10015
6621	6908
3092	1211
12	1990
780	1290
1600	6477
31	672
595	4605
558	2885
9616	6010
842	79444
2100	23543
6462	27440
3984	5829
3481	3485
43	8292
409	554
5074	26574
1825	5318
2889	5906
6810	9066
823	5664
3091	405
1613	9002
2778	7253
3480	7531
3297	3303
2868	801
818	6236
713	715
7157	53615
2153	8475
10291	8841
2983	3320
8863	199699
1823	3728
1824	1829
3691	3655
92	2022
83439	6938
3221	5591
5528	9464
6495	7088
71	5340
2801	8615
8740	51750
6278	2171
144715	6236
1457	4609
12	3817
22906	3799
3480	8660
6427	51755
720	1471
984	10971
1740	4036
7010	9068
3561	6464
64800	374
6091	23380
1677	7153
55690	5311
132625	23063
4609	8295
3836	6728
950	7057
1050	4609
5610	6774
836	3064
3725	8841
87	10529
22800	83593
2885	8936
7159	7525
9351	1080
1399	11184
238	6464
5469	10891
811	4035
823	6450
5590	22927
4916	6464
7832	9337
9261	10109
238	3718
11234	79803
10014	55806
3419	3421
2521	6256
7533	22895
6811	7415
6872	54760
79833	6633
5777	29760
10535	4088
90427	599
6622	54205
